meeting_id,uid,city,meeting_year,agenda_code,summary,word_count,transcript_char_length,processing_timestamp
0,DenverCityCouncil_05012017_17-0161,DenverCityCouncil,2017,17-0161,AS AMENDED a bill for an ordinance amending the Denver Zoning Code to revise parking exemptions for preexisting small zone lots Approves a text amendment to the Denver Zoning Code to revise the PreExisting Small Zone Lot parking exemption The Committee approved filing this bill at its meeting on 21417 On 22717 Council held this item in Committee to 32017 Amended 32017 to ensure that the parking exemption is applied for all uses Some parking requirements are calculated based on gross floor area while others are on number of units and not explicitly for gross floor area to further clarify the legislative intent of the proposed bill to emphasize the citys commitment to more comprehensively address transportation demand management strategies in the short term and to require a Zoning Permit with Informational Notice for all new buildings on PreExisting Small Zone Lots that request to use the small lot parking exemption Enables all expansions to existing buildings to receive the full parking exemption and clarifies at what point an existing building is considered,5814,32767,2/19/2026 17:24
1,DenverCityCouncil_04102017_17-0161,DenverCityCouncil,2017,17-0161,AS AMENDED a bill for an ordinance amending the Denver Zoning Code to revise parking exemptions for preexisting small zone lots Approves a text amendment to the Denver Zoning Code to revise the PreExisting Small Zone Lot parking exemption The Committee approved filing this bill at its meeting on 21417 On 22717 Council held this item in Committee to 32017 Amended 32017 to ensure that the parking exemption is applied for all uses Some parking requirements are calculated based on gross floor area while others are on number of units and not explicitly for gross floor area to further clarify the legislative intent of the proposed bill to emphasize the citys commitment to more comprehensively address transportation demand management strategies in the short term and to require a Zoning Permit with Informational Notice for all new buildings on PreExisting Small Zone Lots that request to use the small lot parking exemption Enables all expansions to existing buildings to receive the full parking exemption and clarifies at what point an existing building is considered,3134,16931,2/19/2026 17:24
2,DenverCityCouncil_02272017_17-0161,DenverCityCouncil,2017,17-0161,AS AMENDED a bill for an ordinance amending the Denver Zoning Code to revise parking exemptions for preexisting small zone lots Approves a text amendment to the Denver Zoning Code to revise the PreExisting Small Zone Lot parking exemption The Committee approved filing this bill at its meeting on 21417 On 22717 Council held this item in Committee to 32017 Amended 32017 to ensure that the parking exemption is applied for all uses Some parking requirements are calculated based on gross floor area while others are on number of units and not explicitly for gross floor area to further clarify the legislative intent of the proposed bill to emphasize the citys commitment to more comprehensively address transportation demand management strategies in the short term and to require a Zoning Permit with Informational Notice for all new buildings on PreExisting Small Zone Lots that request to use the small lot parking exemption Enables all expansions to existing buildings to receive the full parking exemption and clarifies at what point an existing building is considered,625,3324,2/19/2026 17:24
3,LongBeachCC_03072017_17-0161,LongBeachCC,2017,17-0161,Recommendation to respectfully request City Council approval of the 2017 Federal Legislative Agenda as recommended by the Federal Legislation Committee,996,5799,2/19/2026 17:24
4,DenverCityCouncil_03202017_17-0161,DenverCityCouncil,2017,17-0161,AS AMENDED a bill for an ordinance amending the Denver Zoning Code to revise parking exemptions for preexisting small zone lots Approves a text amendment to the Denver Zoning Code to revise the PreExisting Small Zone Lot parking exemption The Committee approved filing this bill at its meeting on 21417 On 22717 Council held this item in Committee to 32017 Amended 32017 to ensure that the parking exemption is applied for all uses Some parking requirements are calculated based on gross floor area while others are on number of units and not explicitly for gross floor area to further clarify the legislative intent of the proposed bill to emphasize the citys commitment to more comprehensively address transportation demand management strategies in the short term and to require a Zoning Permit with Informational Notice for all new buildings on PreExisting Small Zone Lots that request to use the small lot parking exemption Enables all expansions to existing buildings to receive the full parking exemption and clarifies at what point an existing building is considered,5155,28001,2/19/2026 17:24
5,DenverCityCouncil_02212017_17-0161,DenverCityCouncil,2017,17-0161,AS AMENDED a bill for an ordinance amending the Denver Zoning Code to revise parking exemptions for preexisting small zone lots Approves a text amendment to the Denver Zoning Code to revise the PreExisting Small Zone Lot parking exemption The Committee approved filing this bill at its meeting on 21417 On 22717 Council held this item in Committee to 32017 Amended 32017 to ensure that the parking exemption is applied for all uses Some parking requirements are calculated based on gross floor area while others are on number of units and not explicitly for gross floor area to further clarify the legislative intent of the proposed bill to emphasize the citys commitment to more comprehensively address transportation demand management strategies in the short term and to require a Zoning Permit with Informational Notice for all new buildings on PreExisting Small Zone Lots that request to use the small lot parking exemption Enables all expansions to existing buildings to receive the full parking exemption and clarifies at what point an existing building is considered,1255,6642,2/19/2026 17:24
6,DenverCityCouncil_04032017_17-0161,DenverCityCouncil,2017,17-0161,AS AMENDED a bill for an ordinance amending the Denver Zoning Code to revise parking exemptions for preexisting small zone lots Approves a text amendment to the Denver Zoning Code to revise the PreExisting Small Zone Lot parking exemption The Committee approved filing this bill at its meeting on 21417 On 22717 Council held this item in Committee to 32017 Amended 32017 to ensure that the parking exemption is applied for all uses Some parking requirements are calculated based on gross floor area while others are on number of units and not explicitly for gross floor area to further clarify the legislative intent of the proposed bill to emphasize the citys commitment to more comprehensively address transportation demand management strategies in the short term and to require a Zoning Permit with Informational Notice for all new buildings on PreExisting Small Zone Lots that request to use the small lot parking exemption Enables all expansions to existing buildings to receive the full parking exemption and clarifies at what point an existing building is considered,156,838,2/19/2026 17:24
7,SeattleCityCouncil_06282022_CF 314495,SeattleCityCouncil,2022,CF 314495,Report of the City Clerk on the Certificate of Sufficiency for Initiative No 134 concerning approval voting for Mayor City Attorney and City Councilmember primary elections,502,2933,2/19/2026 17:24
8,DenverCityCouncil_10282019_19-0776,DenverCityCouncil,2019,19-0776,A bill for an ordinance vacating a portion of the rightofway adjacent to 2099 Chestnut Place bounded by West 29th Avenue and Chestnut Place and Division Street with reservations Vacates a portion of the right of way adjacent to 2099 Chestnut Place bounded by West 29th Avenue Chestnut Place and Division Street with reservations in Council District 9 The Committee approved filing this item at its meeting on 81319,6246,32767,2/19/2026 17:24
9,SeattleCityCouncil_07052022_CF 314495,SeattleCityCouncil,2022,CF 314495,Report of the City Clerk on the Certificate of Sufficiency for Initiative No 134 concerning approval voting for Mayor City Attorney and City Councilmember primary elections,382,2299,2/19/2026 17:24
